,logFC,AveExpr,t,P.Value,adj.P.Val,B
ANO8,0.148306009276943,7.45155437572686,2.37520094259017,0.0185059722331101,0.154487026103001,-3.53808659208509
AFF2,-0.131225957723548,7.98032340748452,-2.37502129733601,0.0185147219784646,0.154487026103001,-3.53848695629602
RPN1,0.0766943506739608,11.5528882086832,2.37493062641227,0.0185191395531496,0.154487026103001,-3.53868901811834
GPR17,0.143976244222705,6.69709977978753,2.37490094111844,0.0185205860511913,0.154487026103001,-3.53875517076341
RAE1,-0.0943280133383624,8.30023657798772,-2.37477685998414,0.0185266333262557,0.154487026103001,-3.53903167282655
IDO2,0.251886106226719,8.85609222223618,2.37431869148199,0.0185489779237032,0.154585367212842,-3.5400525364044
FANCC,-0.106170155143589,6.83549165760768,-2.37376230341011,0.0185761445775897,0.154686755961637,-3.54129199751512
KTI12,-0.17280754820457,8.48364204497944,-2.37363715619259,0.0185822599476132,0.154686755961637,-3.54157074924966
FAM81A,0.154041242523608,5.76940326552392,2.37283260427463,0.0186216171116185,0.154811936985396,-3.54336247009443
HIST1H2BF,0.19209148515869,7.64727283720013,2.37225657271038,0.0186498406188183,0.154811936985396,-3.54464492930843
PSMB8,-0.109566416322224,7.38034862270106,-2.37199161413896,0.0186628353087774,0.154811936985396,-3.54523472656862
NUP160,-0.136924746477954,9.52889178667608,-2.37195744473271,0.018664511702051,0.154811936985396,-3.54531078308294
GCSH,0.174141231678824,8.99325653755304,2.37188119400082,0.0186682531358068,0.154811936985396,-3.54548050326179
NOX3,0.166346374959653,6.03820117727491,2.37185113432036,0.0186697282712551,0.154811936985396,-3.54554740919867
PIK3R5,0.153482484333527,6.79380795958136,2.37167231388004,0.0186785057504773,0.154811936985396,-3.54594540587437
NR3C2,-0.204022065260453,7.36298462020027,-2.37152552629294,0.0186857136017525,0.154811936985396,-3.54627208661857
TRUB1,-0.153922979431324,7.16715631125052,-2.37138945253687,0.0186923975515095,0.154811936985396,-3.54657490635857
MAGEA10,-0.134825726255292,8.8860878871772,-2.37090209661555,0.0187163537946395,0.154922768048171,-3.54765933825514
RGL1,-0.133123217115731,8.85937727456021,-2.3704944030201,0.018736414979235,0.155001251191854,-3.54856634958016
OPRK1,-0.311591216009576,7.85348656740513,-2.36998544380442,0.0187614856921915,0.155121064828611,-3.54969844414947
JUP,0.138818303176789,10.2667471166535,2.36962839235836,0.0187790912565256,0.155179055837201,-3.55049250864659
SEPP1,-0.196077724435089,11.322593117192,-2.36934373219441,0.0187931377678651,0.155207588183197,-3.5511254978236
HRH1,-0.13687984406673,7.39778629842913,-2.3686589925267,0.0188269640757345,0.155399352492161,-3.5526478368496
TFDP1,-0.123323573553911,9.79766815494508,-2.3677599887533,0.0188714565509773,0.155678890725433,-3.55464590652831
SLC19A1,0.185590556627007,9.04452202355328,2.3675027519736,0.0188842044604784,0.155696386916415,-3.55521749345804
SIGLEC1,-0.18545205805488,7.71820191676075,-2.36715778447741,0.0189013119622136,0.155702918781542,-3.5559839285224
ZNF568,-0.117235643947332,6.46871045488247,-2.36705822895665,0.0189062516218937,0.155702918781542,-3.55620509745473
WDR89,0.157814450137211,8.05019274009832,2.36661190798816,0.0189284107740787,0.155797834972487,-3.55719652021141
ENSA,-0.123808285324206,9.95380803639618,-2.36471890238338,0.0190226501829367,0.156485596760363,-3.56139953803719
TMEM14A,0.131795897656128,8.12046629903382,2.36424175178149,0.0190464692810902,0.156593614723486,-3.56245844979754
WFS1,0.169880555497322,9.91601222287741,2.36303814937652,0.019106669229665,0.156968292006071,-3.56512863800138
TGFBRAP1,0.0942612274355881,8.33785830270405,2.3628249688937,0.0191173492210434,0.156968292006071,-3.56560144467841
DZIP1L,0.113228121845655,6.88390741328462,2.36268862198709,0.0191241827336589,0.156968292006071,-3.56590382336755
REV3L,0.12733992523966,8.42172721799835,2.36219115608048,0.0191491332658581,0.157085079215054,-3.56700692192911
UNC5C,-0.133329201886672,6.30179940071354,-2.36177861885441,0.0191698459216986,0.15716699082194,-3.56792153059225
UBE2D4,-0.125020950641577,8.74395716105313,-2.36139550245629,0.0191890990877071,0.157236851640938,-3.56877077749134
TADA2A,-0.1502576251628,7.76469225601763,-2.36040560596811,0.0192389243107539,0.157557003955761,-3.57096446124655
PPP2R3C,-0.0988626451287899,8.25929055063049,-2.36018177460424,0.0192502063693369,0.157561325987238,-3.57146036792467
SLC13A3,0.159125527731879,8.08670961534995,2.35932496733347,0.0192934469808873,0.157827075218861,-3.57335824661934
HIST1H1E,0.161641745797443,10.2226726357365,2.35876443784706,0.01932178156138,0.157970659406127,-3.57459950110064
F8,0.138486716365797,6.38710746958267,2.35839948385928,0.0193402495548225,0.158033461365145,-3.57540751750848
SLC1A5,0.129303809526073,8.16073826494786,2.35764292619212,0.01937858362855,0.158202054938872,-3.57708217798642
C9orf40,0.133849311439425,8.15455848099015,2.35756613637309,0.0193824782346103,0.158202054938872,-3.57725212597883
TYRO3,-0.0957796237762425,7.66025103423235,-2.35734843540889,0.019393523282184,0.158204069937237,-3.57773390421791
TRAM2,-0.124391718158302,11.2278461643525,-2.35671760209176,0.0194255598800915,0.158377227492054,-3.57912971892954
LIPG,-0.15543989460312,9.76397006681173,-2.35641300030424,0.0194410456244075,0.1584153278327,-3.57980357067246
FUCA2,-0.107001930430298,9.87777746897322,-2.35605218473815,0.0194594032997499,0.158476774732983,-3.58060167446109
SLC5A6,-0.130207569095782,11.4311151388662,-2.35433154714475,0.0195471564495894,0.159069397790057,-3.58440604359185
TRPM4,0.125505855593238,8.00385798884506,2.3541998748389,0.0195538861115209,0.159069397790057,-3.58469706615157
SUSD1,0.128547160469807,9.45980579516602,2.35353898042289,0.0195876946907313,0.159256001617039,-3.58615754534819
MOB2,0.0750050148552974,8.00167289957355,2.35309896843987,0.0196102323741571,0.159291145713955,-3.58712969256999
ZDHHC7,-0.0919578968388155,9.81112322147181,-2.35290156195485,0.0196203510698958,0.159291145713955,-3.58756577992789
DEFA6,-0.111324223081563,5.97688041972329,-2.35281802587293,0.0196246343603638,0.159291145713955,-3.5877503077001
VASN,0.145404689986098,8.79511970033631,2.3521780274613,0.019657477423706,0.159336511546988,-3.5891638329542
SPEN,-0.0968500724791372,9.71805236276402,-2.35211843501517,0.0196605380143115,0.159336511546988,-3.58929543268507
TSEN2,0.0901300320081493,7.43124288356529,2.35207342727756,0.0196628498312029,0.159336511546988,-3.58939482249656
DES,-0.176772650054184,8.43857000100363,-2.35138704147673,0.0196981356089726,0.159428308614271,-3.59091033424242
ZNF461,-0.127010499645813,7.0754705783628,-2.3513157266945,0.0197018049588197,0.159428308614271,-3.59106777044544
QRSL1,-0.134886481580024,8.10650875521239,-2.35121821451236,0.0197068232134629,0.159428308614271,-3.59128303336253
MYH13,-0.140151261412318,6.16259771749074,-2.35082701692776,0.0197269666650043,0.159503194596566,-3.5921465365656
EIF1B,-0.100425109477847,8.60141970291462,-2.35038816838987,0.019749585308984,0.159510336190533,-3.59311506003866
WSCD1,0.155155064831709,7.24894356692806,2.35038740666602,0.0197496245887398,0.159510336190533,-3.59311674098849
KBTBD8,0.187865260483681,7.30118237692994,2.34975239480302,0.0197823941226496,0.159600165284899,-3.59451788782694
SCN11A,-0.21673277816243,6.54236042885765,-2.3497496934661,0.0197825336261946,0.159600165284899,-3.59452384753521
MLH1,-0.0825410614962898,9.34132871943752,-2.34933647120159,0.0198038836153551,0.159684479278243,-3.59543542528253
PTRF,-0.151210525469107,10.210183410831,-2.34889399687675,0.0198267674472798,0.159758241902669,-3.59641136613296
ATP6V1A,-0.0839549845623146,10.1383113411728,-2.34871333173205,0.0198361177514977,0.159758241902669,-3.5968097992916
RNF213,-0.133385467478904,8.75769619112739,-2.34849846349388,0.0198472432835809,0.159758241902669,-3.5972836252396
DACH1,-0.180119616483386,7.1707428361239,-2.34831690072716,0.0198566485908648,0.159758241902669,-3.59768397432817
TACR1,-0.122936293966611,6.21407407629279,-2.34743156088068,0.0199025671302732,0.159972282654699,-3.59963574605213
ACSS3,-0.183964566069727,6.73542947040554,-2.34738297341339,0.0199050898422985,0.159972282654699,-3.59974283923073
ISOC1,-0.109614586452675,8.79043514472032,-2.34690157485946,0.019930099761883,0.160085466892187,-3.60080379209992
B3GNT1,0.116278790074107,8.2623776576428,2.34612382120156,0.0199705645153833,0.160322597651989,-3.602517447515
